,speed,heading,desired_duration,actual_duration,x0,y0,vel_x0,vel_y0,col_x,col_y,x1,y1,vel_x1,vel_y1
28,29,305,0.06702183400988071,0.22824907302856445,-186,6,1,0,-767,3634,-185,3,0,0
29,247,35,0.8045649586369548,0.9581747055053711,-185,3,0,0,385,-728,-188,19,336,774
30,237,34,0.5041191154953567,0.6835756301879883,-185,27,332,628,381,-1497,-154,72,585,797
31,45,227,0.4784494863010036,0.6004505157470703,-151,77,569,778,1110,-697,-137,112,82,59
32,169,87,0.6602824283183507,0.8088698387145996,-136,112,16,-39,-1257,906,-143,88,388,-357
33,66,291,0.26880958507538477,0.46946072578430176,-139,85,438,-251,316,-1526,-123,88,117,216
34,122,202,0.8027972024518293,0.986215353012085,-122,89,108,267,15,-790,-143,80,-102,-454
35,244,29,0.5978541792843491,0.7470400333404541,-144,75,-139,-438,15,-790,-139,26,722,-468
36,36,337,0.24841363189401075,0.37987470626831055,-131,23,840,-124,429,-867,-113,20,313,-215
37,216,311,0.630368312178104,0.7786471843719482,-112,19,259,-147,-453,-1453,-141,22,-546,269
38,145,201,0.679070161363827,0.8606925010681152,-144,23,-542,270,281,-1413,-171,12,-51,-515
39,56,246,0.5772062918115946,0.6729202270507812,-171,7,-13,-503,-217,-1162,-177,1,-20,93
40,28,124,0.1438901265164771,0.2976846694946289,-177,1,-136,48,-217,-1162,-180,0,-153,-39
41,31,106,0.5632002297066994,0.7426071166992188,-181,0,-22,-70,-217,-1162,-181,-2,0,0
